Transaction_ID,Transaction_Date,Customer_ID,Product_Name,Quantity,Price,Payment_Method,Transaction_Status
T0001,2024-08-02,C2205,Headphones,-5.0,$420.21,pay pal,Unknown
T0002,2020-02-10,C3156,Coffee ,469.0,-445.34202525395585,creditcard,Pending
T0003,2025-02-30,C2919,Tablet,-4.0,810.9930123946459,credit card,completed
T0004,2020-08-17,C3009,Tab,-7.0,868.6083413217348,PayPal,Pending
T0005,2025-02-30,C3488,Coffee Machine,-10.0,-763.1224490039416,PayPal,completed
T0008,2023-13-01,C4736,Headphones,669.0,-86.92126929493884,Cash,Unknown
T0009,2023-13-01,C3387,Tablet,10.0,461.70198437439694,PayPal,Unknown
T0010,2025-02-30,C2846,Laptop,-1.0,404.8907066405689,creditcard,Pending
T0011,2023-13-01,C1004,Laptop,10.0,-600.8393093751704,PayPal ,complete
T0014,2020-06-19,C2992,Coffee Machine,696.0,905.5147299335418,creditcard,Failed
T0015,2025-02-30,C3879,Headphones,-2.0,523.8427581553709,credit card,Pending
T0017,2020-07-07,C3776,Smartphone,236.0,-94.55726526729006,credit card,Pending
T0018,2025-02-30,C847,Coffee Ma,7.0,-108.43782406112234,credit card,complete
T0021,2025-02-30,C1137,Coffee Machine,856.0,-488.8626491104135,Credit Card,Failed
T0023,2025-02-30,C4877,Tablet,538.0,-733.8292284642129,PayPal ,complete
T0025,2022-11-18,C4985,Tablet,114.0,276.93632041675164,PayPal,Unknown
T73466,2025-02-30,C2702,Coffee Machine,-5.0,555.6133483579025,creditcard,complete
T0028,2025-02-30,C3025,Smar,7.0,$797.34,PayPal,complete
T0029,2025-02-30,C1345,Smartphone,-5.0,-295.7651514883837,PayPal,Pending
T0031,2024-07-17,C3672,Tablet,-5.0,787.9940762988269,Credit Card,completed
T0033,2025-02-30,C1844,Coffee Machine,-3.0,546.7808345069353,PayPal,Failed
T0034,2025-02-30,C1406,Coffee Machine,3.0,-120.68099580920125,creditcard,complete
T0035,2022-07-25,C2579,Coffee Machine,485.0,$970.28,credit card,Completed
T0036,2023-13-01,C292,Laptop,2.0,-596.4257637659894,pay pal,completed
T0037,2023-13-01,C2492,Smartphone,-10.0,$711.71,pay pal,Pending
T0045,2023-13-01,C3393,Smartphone,-5.0,653.3867399963707,creditcard,Pending
T0046,2025-02-30,C2797,Coffee Machine,825.0,-788.7705027101282,PayPal,Completed
T0048,2025-02-30,C987,Headphones,-5.0,-527.0952322435783,Credit Card,Pending
T0050,2021-04-23,C4480,Tablet,-6.0,$969.72,PayPal ,Completed
T0051,2025-02-30,C591,Coffee M,272.0,-253.7301092365127,Cash,Unknown
T0052,2022-12-20,C4029,Headphones,839.0,-756.3340765354607,PayPal ,Pending
T0053,2022-07-22,C1077,Laptop,559.0,154.18505403344284,credit card,Failed
T0055,2024-04-17,C2474,Coffee Machine,867.0,130.23186429200612,creditcard,Pending
T0056,2025-02-30,C4020,Coffee Machine,153.0,-500.9165574378977,PayPal,completed
T0058,2023-13-01,C3286,Smartphone,469.0,-424.31579152678114,pay pal,completed
T0059,2023-13-01,C2809,Tablet,4.0,-329.6249100867068,credit card,Unknown
T0060,2025-02-30,C2809,Headphones,9.0,-774.7400993737688,pay pal,complete
T0061,2023-13-01,C3123,Headphones,6.0,-692.6956884654846,creditcard,completed
T0065,2023-13-01,C4884,Smartp,-6.0,$261.10,PayPal ,Pending
T0066,2025-02-30,C4996,Laptop,399.0,416.86425090767176,PayPal,Pending
T0068,2023-13-01,C4424,Tablet,222.0,-893.0581296167652,PayPal,Failed
T0069,2021-03-03,C1757,Headphones,-5.0,-750.9838518199657,credit card,complete
T0070,2025-02-30,C4445,Coffee Machine,787.0,-197.82671183761192,PayPal ,complete
T0075,2025-02-30,C3892,Laptop,6.0,310.0117870605701,pay pal,Pending
T0079,2025-02-30,C4545,Laptop,10.0,-523.9728550305827,PayPal,Pending
T0080,2025-02-30,C3707,Coffee Machine,4.0,933.723570095747,pay pal,Unknown
T0081,2023-02-28,C3687,Smartphone,8.0,-845.0306396233873,PayPal,Completed
T0082,2025-02-30,C3687,Laptop,2.0,-386.6519715886566,PayPal,Unknown
T0083,2023-13-01,C2616,Tablet,7.0,447.1746873942077,pay pal,Completed
T0084,2023-13-01,C722,Tablet,4.0,811.1940409467047,PayPal ,Failed
T0086,2025-02-30,C058,Tablet,480.0,-784.8027259138621,Cash,Unknown
