Customer ID,TotalSpent,AverageSpent,Customer_Purchase_Count
cust_01,54678.0,119.38427947598254,458
cust_02,58282.5,131.2668918918919,444
cust_03,55920.0,133.14285714285714,420
cust_04,57139.0,134.12910798122067,426
cust_05,63445.5,127.91431451612904,496
cust_06,55610.0,125.81447963800905,442
cust_07,56674.5,131.19097222222223,432
cust_08,61620.5,129.18343815513626,477
cust_09,56703.0,122.20474137931035,464
cust_10,59957.5,131.1980306345733,457
cust_11,56629.5,125.56430155210643,451
cust_12,56428.5,126.23825503355705,447
cust_13,62195.5,127.18916155419222,489
cust_14,56436.5,127.3961625282167,443
cust_15,60339.5,126.49790356394129,477
cust_16,60725.5,131.15658747300216,463
cust_17,52560.5,125.44272076372314,419
cust_18,55044.5,123.41816143497758,446
cust_19,57149.0,132.90465116279069,430
cust_20,57831.0,126.82236842105263,456
cust_21,58819.0,132.17752808988763,445
cust_22,58640.0,129.16299559471366,454
cust_23,58918.5,131.51450892857142,448
cust_24,63788.0,130.98151950718685,487
cust_25,54502.5,125.29310344827586,435
